城墙,初置时间,先秦
空心敌台,初置时间,隆庆
墙台,初置时间,明朝
烽火台,初置时间,先秦
关城,初置时间,明朝
镇城,初置时间,明朝
路城,初置时间,明朝
卫城,初置时间,洪武
所城,初置时间,明朝
堡城,初置时间,明朝
炮墙,初置时间,明朝
传烽厂,初置时间,明朝
战台,初置时间,明朝
实心敌台,初置时间,明朝
九眼楼,初置时间,明朝
瓮城,初置时间,汉朝
边墙,初置时间,明朝
箭楼,初置时间,正统
角楼,初置时间,先秦
屯堡,初置时间,洪武
千斤闸,初置时间,正统
黄松峪长城,所在区县,平谷县
红石门长城,所在区县,平谷县
将军关长城,所在区县,平谷县
四座楼风景区,所在区县,平谷县
司马台长城,所在区县,密云县
蟠龙山长城,所在区县,密云县
古北口长城,所在区县,密云县
卧虎山长城景区,所在区县,密云县
云蒙山长城遗址公园,所在区县,密云县
五座楼森林公园,所在区县,密云县
白岭关长城风景区,所在区县,密云县
白道峪风景旅游区,所在区县,密云县
桃源仙谷风景名胜区,所在区县,密云县
天云山风景区,所在区县,密云县
慕田峪长城,所在区县,怀柔县
青龙峡景区,所在区县,怀柔县
黄花城水长城,所在区县,怀柔县
神堂峪长城,所在区县,怀柔县
摩崖石刻自然风景区,所在区县,怀柔县
鳞龙山自然风景区,所在区县,怀柔县
箭扣长城,所在区县,怀柔县
响水湖长城风景区,所在区县,怀柔县
河防口长城,所在区县,怀柔县
八达岭残长城自然风景区,所在区县,延庆
八达岭水关长城,所在区县,延庆
八达岭长城,所在区县,延庆
石峡关残长城,所在区县,延庆
九眼楼长城景区,所在区县,延庆
百里山水画廊,所在区县,延庆
北京结点山,所在区县,延庆
龙泉峪长城,所在区县,延庆
居庸关长城景区,所在区县,昌平
黄楼洼,所在区县,昌平
灵山自然风景区,所在区县,门头沟
山海关景区,所在区县,山海关区
角山长城,所在区县,山海关区
老龙头,所在区县,山海关区
黄崖关长城,所在区县,蓟县
界岭口城堡,所在区县,抚宁县
青山关景区,所在区县,迁西县
九门口长城,所在区县,山海关区
黄松峪长城,野生植物,桑
黄松峪长城,野生植物,山楂
黄松峪长城,野生植物,油松
黄松峪长城,野生植物,荆条
红石门长城,野生植物,荆条
红石门长城,野生植物,紫椴
司马台长城,野生植物,荆条
司马台长城,野生植物,紫椴
司马台长城,野生植物,蒙古栎
司马台长城,野生植物,胡桃楸
司马台长城,野生植物,油松
古北口长城,野生植物,板栗
慕田峪长城,野生植物,荆条
慕田峪长城,野生植物,紫椴
慕田峪长城,野生植物,蒙古栎
慕田峪长城,野生植物,胡桃楸
慕田峪长城,野生植物,油松
黄花城水长城,野生植物,板栗
神堂峪长城,野生植物,毛樱桃
神堂峪长城,野生植物,山葡萄
神堂峪长城,野生植物,榛
神堂峪长城,野生植物,油松
神堂峪长城,野生植物,板栗
神堂峪长城,野生植物,桑
八达岭长城,野生植物,荆条
八达岭长城,野生植物,紫椴
八达岭长城,野生植物,蒙古栎
八达岭长城,野生植物,胡桃楸
八达岭长城,野生植物,油松
石峡关残长城,野生植物,山杏
石峡关残长城,野生植物,荆条
司马台长城,修建人,刘应节
司马台长城,修建人,谭纶
司马台长城,修建人,戚继光
慕田峪长城,修建人,徐达
八达岭水关长城,修建人,戚继光
老龙头,修建人,戚继光
黄崖关长城,修建人,戚继光
金山岭长城,修建人,戚继光
《永平府志》,作者,宋琬
《顺天府志》,作者,谢杰
《练兵杂纪》,作者,戚继光
《卢龙赛略》,作者,郭造卿
《九边图考》,作者,许论
《武备志》,作者,茅元仪
《四镇三关志》,作者,刘效祖
《皇明九边考》,作者,魏焕
《明史》,作者,张廷玉
《练兵实纪》,作者,戚继光
《天下郡国利病书》,作者,顾炎武
《西关志》,作者,王士翘
《宣大山西三镇图说》,作者,杨时宁
《读史方舆纪要》,作者,顾祖禹
《昌平山水记》,作者,顾炎武
《辽东志》,作者,毕恭
《顺天府志》,作者,沈应文
《永平府志》,成书朝代,光绪
《顺天府志》,成书朝代,万历
《蓟州志》,成书朝代,清朝
《练兵杂纪》,成书朝代,隆庆
《朔州志》,成书朝代,雍正
《卢龙赛略》,成书朝代,明朝
《通州志》,成书朝代,嘉靖
《宣府镇志》,成书朝代,清朝
《九边图考》,成书朝代,隆庆
《宣化县志》,成书朝代,乾隆
《宣化府志》,成书朝代,乾隆
《万全县志》,成书朝代,清朝
《大同府志》,成书朝代,乾隆
《宁夏新志》,成书朝代,弘治
《宁夏府志》,成书朝代,乾隆
《畿辅通志》,成书朝代,清朝
《平谷县志》,成书朝代,雍正
《武备志》,成书朝代,天启
《四镇三关志》,成书朝代,万历
《明实录》,成书朝代,明朝
《皇明九边考》,成书朝代,嘉靖
《明史兵志》,成书朝代,明朝
《明史》,成书朝代,清朝
《明长城蓟镇图》,成书朝代,明朝
《练兵实纪》,成书朝代,隆庆
《天下郡国利病书》,成书朝代,清朝
《西关志》,成书朝代,嘉靖
《宣大山西三镇图说》,成书朝代,万历
《读史方舆纪要》,成书朝代,康熙
《昌平山水记》,成书朝代,清朝
《九边图说》,成书朝代,隆庆
《辽东志》,成书朝代,正统
《三云筹俎考》,成书朝代,万历
毕恭,职位,指挥佥事
常遇春,职位,公爵
仇鸾,职位,候爵
戴金,职位,兵部尚书
冯胜,职位,公爵
傅友德,职位,公爵
耿炳文,职位,候爵
郭亮,职位,候爵
郭英,职位,候爵
华云龙,职位,候爵
蓝玉,职位,候爵
李成梁,职位,伯爵
李景隆,职位,公爵
刘效祖,职位,伯爵
谭纶,职位,兵部尚书
沐英,职位,候爵
茅元仪,职位,副总兵
聂豹,职位,兵部尚书
石亨,职位,公爵
孙承宗,职位,兵部尚书
谭广,职位,伯爵
高拱,职位,大学士
韩斌,职位,副总兵
何栋,职位,都御史
李如柏,职位,总兵官
刘应节,职位,都御史
沈应文,职位,侍郎
宋琬,职位,参政
汪鋐,职位,兵部尚书
王崇古,职位,兵部尚书
王士翘,职位,佥都御史
吴时来,职位,都御史
吴惟忠,职位,指挥佥事
熊廷弼,职位,经略
许论,职位,兵部尚书
徐达,职位,公爵
徐达,职位,丞相
杨镐,职位,经略
杨时宁,职位,知县
杨嗣昌,职位,兵部尚书
杨兆,职位,总督
殷士儋,职位,大学士
于谦,职位,兵部尚书
张鼎思,职位,给事中
张居正,职位,大学士
张廷玉,职位,大学士
郑亨,职位,候爵
朱纯,职位,给事中
朱升,职位,大学士
邹来学,职位,都御史
王抒,职位,都御史
玄烨,儿子,胤禛
胤禛,父亲,玄烨
弘历,父亲,胤禛
朱元璋,孙子,朱允炆
朱允炆,祖父,朱元璋
朱棣,父亲,朱元璋
朱高炽,父亲,朱棣
朱瞻基,父亲,朱高炽
朱祁镇,父亲,朱瞻基
朱祁钰,父亲,朱瞻基
朱见深,父亲,朱祁镇
朱祐樘,父亲,朱见深
朱厚照,父亲,朱祐樘
朱厚熜,父亲,朱见深
朱载坖,父亲,朱厚熜
朱翊钧,父亲,朱载坖
朱常洛,父亲,朱翊钧
朱由校,父亲,朱常洛
朱由检,父亲,朱常洛
朱由崧,祖父,朱翊钧
胤禛,儿子,弘历
朱元璋,儿子,朱棣
朱允炆,叔伯,朱棣
朱棣,儿子,朱高炽
朱高炽,儿子,朱瞻基
朱瞻基,儿子,朱祁镇
朱祁镇,兄弟,朱祁钰
朱祁钰,兄弟,朱祁镇
朱见深,叔伯,朱祁钰
朱祐樘,儿子,朱厚照
朱厚照,兄弟,朱厚熜
朱厚熜,兄弟,朱厚照
朱载坖,叔伯,朱厚照
朱翊钧,儿子,朱常洛
朱常洛,儿子,朱由校
朱由校,兄弟,朱由检
朱由检,兄弟,朱由校
朱棣,孙子,朱瞻基
朱瞻基,儿子,朱祁钰
朱祐樘,儿子,朱厚熜
朱厚熜,儿子,朱载坖
朱载坖,儿子,朱翊钧
靖难之役,发生时代,建文
庚戌之变,发生时代,嘉靖
土木之变,发生时代,正统
隆庆和议,发生时代,隆庆
萨尔浒之战,发生时代,万历
调北征南,发生时代,洪武
金辽战争,发生时代,辽
京师保卫战,发生时代,正统
潘家口之战,发生时代,嘉靖
洪山口之战,发生时代,崇祯
昌平之战,发生时代,崇祯
清河城之战,发生时代,万历
靖难之役,主要参与者,朱允炆
靖难之役,主要参与者,朱棣
靖难之役,主要参与者,耿炳文
靖难之役,主要参与者,李景隆
庚戌之变,主要参与者,严嵩
庚戌之变,主要参与者,丁汝夔
庚戌之变,主要参与者,鞑靼
庚戌之变,主要参与者,仇鸾
土木之变,主要参与者,朱祁镇
土木之变,主要参与者,王振
土木之变,主要参与者,瓦剌
隆庆和议,主要参与者,鞑靼
隆庆和议,主要参与者,高拱
隆庆和议,主要参与者,张居正
隆庆和议,主要参与者,方逢时
隆庆和议,主要参与者,王崇古
萨尔浒之战,主要参与者,努尔哈赤
萨尔浒之战,主要参与者,杨镐
萨尔浒之战,主要参与者,李如柏
调北征南,主要参与者,朱元璋
调北征南,主要参与者,傅友德
调北征南,主要参与者,沐英
调北征南,主要参与者,蓝玉
金辽战争,主要参与者,女真
金辽战争,主要参与者,契丹
京师保卫战,主要参与者,于谦
京师保卫战,主要参与者,石亨
京师保卫战,主要参与者,瓦剌
京师保卫战,主要参与者,朱祁钰
京师保卫战,主要参与者,朱祁镇
潘家口之战,主要参与者,鞑靼
潘家口之战,主要参与者,王抒
洪山口之战,主要参与者,女真
昌平之战,主要参与者,女真
清河城之战,主要参与者,努尔哈赤
清河城之战,主要参与者,女真
清河城之战,主要参与者,邹储贤
清河城之战,主要参与者,杨镐
